,raw_comment,cleaned,emotion,score,emoji
48,i watched this whole video of jere and belly to see conrad for 2 seconds 😭,i watched this whole video of jere and belly to see conrad for 2 seconds,neutral,0.938,
49,That HEY was everything i need to know! Conrad forever ♾️,that hey was everything i need to know conrad forever,neutral,0.805,
50,JELLY FISH 4 EVA,jelly fish 4 eva,neutral,0.967,
51,"It will also be so illogical to literally MAKE jere cheat on belly  to set the scene for her to get back with Conrad just to follow the books ! There’s a big difference here … in the books we didn’t have an actual depiction of Jeremiah so him cheating on belly could’ve been plausible but in the series Gavin did a great job of depicting him as more caring and sweeter than Conrad and now if the same plot takes pace, it would not be plausible at all any more !",it will also be so illogical to literally make jere cheat on belly  to set the scene for her to get back with conrad just to follow the books  theres a big difference here  in the books we didnt have an actual depiction of jeremiah so him cheating on belly couldve been plausible but in the series gavin did a great job of depicting him as more caring and sweeter than conrad and now if the same plot takes pace it would not be plausible at all any more,neutral,0.482,
52,this 100% just made the rest of my whole YEAR!!! i’m so excited!!!💖🫶🫶🫶💖💖💖💖💖🫶🫶<br><br>(imna watch it all in one day😝),this 100 just made the rest of my whole year im so excitedbrbrimna watch it all in one day,excitement,0.822,
53,I just don’t figure out what’s with messing up fans’ emotions and switching From A To B and B to A like yoyo 😂this is in a new platform so it should have a new ending whatever it might be so that everything will be fair and Square :),i just dont figure out whats with messing up fans emotions and switching from a to b and b to a like yoyo this is in a new platform so it should have a new ending whatever it might be so that everything will be fair and square,confusion,0.713,
54,"ROMANTIZARAM TRAIÇÃO, A MOCINHA FICAR COM DOIS IRMÃOS E TA TUDO BEM",romantizaram traição a mocinha ficar com dois irmãos e ta tudo bem,neutral,0.957,
55,Look who showed up at the door 😭,look who showed up at the door,neutral,0.921,
56,OMG NO BRO CONRAD DOESNT NEED TO CAUSE CHAOS,omg no bro conrad doesnt need to cause chaos,neutral,0.469,
57,It was always conrad!!..never jere...,it was always conradnever jere,neutral,0.945,
58,CONRADDDDUHHHH,conradddduhhhh,neutral,0.963,
59,if she dont pick conrad ill gladly have him hand him over,if she dont pick conrad ill gladly have him hand him over,joy,0.458,😊
60,was punching the wall until that &quot;hey&quot;,was punching the wall until that quotheyquot,neutral,0.913,
61,JELLYSHERRRR TIMEEEE,jellysherrrr timeeee,neutral,0.946,
62,👧🏻: casually having fun<br>🧌👺👹:”hey”,casually having funbrhey,joy,0.583,😊
63,Am team Jere and it will be heartbreaking for her to go with Conrad at the end,am team jere and it will be heartbreaking for her to go with conrad at the end,sadness,0.89,😢
64,Key words loving him WAS red,key words loving him was red,love,0.937,❤️
65,Yeter artık iyice alacakaranlık filmindeki bella swana benzedi bu kız,yeter artık iyice alacakaranlık filmindeki bella swana benzedi bu kız,neutral,0.911,
66,YALL I CANT IM SO EXCITED,yall i cant im so excited,excitement,0.793,
67,Conrad and bellys chemistry Looks more intense and deep!!,conrad and bellys chemistry looks more intense and deep,neutral,0.835,
68,Anyone else happy that belly finally got new hairstyles!!!!!!!!!!!!,anyone else happy that belly finally got new hairstyles,joy,0.834,😊
69,"I&#39;m super excited for Season 3 of &quot;The Summer I Turned Pretty&quot;! 😍✨ The teaser looks promising, and I can&#39;t wait to see how the story evolves this time around! 🌊💖",i39m super excited for season 3 of quotthe summer i turned prettyquot  the teaser looks promising and i can39t wait to see how the story evolves this time around,excitement,0.81,
70,What! Really??????! 😍😍😍😍😍,what really,neutral,0.676,
71,I got goosebumps when Red started playing,i got goosebumps when red started playing,excitement,0.527,
72,I can not wait for July 16.,i can not wait for july 16,excitement,0.398,
73,AHHHHHH,ahhhhhh,neutral,0.602,
74,TEAM JELLYFISHHHHH,team jellyfishhhhh,neutral,0.967,
75,"I can&#39;t believe we&#39;re getting a Season 3 already! 🌞💕 The teaser looks super exciting, and I can&#39;t wait to see how the love triangle unfolds this time! 🍂✨",i can39t believe we39re getting a season 3 already  the teaser looks super exciting and i can39t wait to see how the love triangle unfolds this time,excitement,0.765,
76,TEAM CONRAD❤❤❤❤❤,team conrad,neutral,0.967,
77,Conrad💝😭,conrad,neutral,0.932,
78,"Jenny Han could make Jeremiah not cheat, there was no need for that in the book, Belly could stay with Conrad for the simple fact that she loves him more, there is no need to throw Jeremiah into the fire",jenny han could make jeremiah not cheat there was no need for that in the book belly could stay with conrad for the simple fact that she loves him more there is no need to throw jeremiah into the fire,neutral,0.925,
79,I just can wait omg,i just can wait omg,excitement,0.665,
80,As a swiftie daylight playing this whole time and red at the end has my whole heartttt❤❤❤,as a swiftie daylight playing this whole time and red at the end has my whole heartttt,neutral,0.924,
81,STOP THE TS MUSIC IM SCREAMING I CANT,stop the ts music im screaming i cant,anger,0.471,😡
82,Jermaiah forever ❤❤,jermaiah forever,neutral,0.968,
83,OHMYGODDDDDDDDDDDD YES!,ohmygodddddddddddd yes,neutral,0.756,
84,July is too far😭 l cannot wait for that long!😢,july is too far l cannot wait for that long,neutral,0.719,
85,I do not want belly to end up with either one of them. Both deserve someone better than belly.,i do not want belly to end up with either one of them both deserve someone better than belly,disapproval,0.743,
86,Bailey will marry Conrad in the final episode of the series.,bailey will marry conrad in the final episode of the series,neutral,0.924,
87,"How can anyone can make a series like this , the line “I once believed love could be burning red “ to “loving him was red” the transition   team jellyfish ✨ <br>Love from India ♥️",how can anyone can make a series like this  the line i once believed love could be burning red  to loving him was red the transition   team jellyfish  brlove from india,love,0.372,❤️
88,But like guys ok hear me out! It says “loving him WAS red” Yk? It didn’t say “Loving him IS red” meaning she doesn’t love him,but like guys ok hear me out it says loving him was red yk it didnt say loving him is red meaning she doesnt love him,love,0.307,❤️
89,but loving him is red 😭😭😭,but loving him is red,love,0.935,❤️
90,What Jeremiah did to belly when he was in Cabo is so sad,what jeremiah did to belly when he was in cabo is so sad,sadness,0.908,😢
91,can we pls just let them be happy finally its the same story again and again 😭🙏<br>but that transition from daylight to red thoooo,can we pls just let them be happy finally its the same story again and again brbut that transition from daylight to red thoooo,neutral,0.554,
92,CONNIE BABY,connie baby,neutral,0.853,
93,"Team Conrad,for sure",team conradfor sure,neutral,0.938,
94,i was ok with it ending at sn 2 .i dont like the idea of another season,i was ok with it ending at sn 2 i dont like the idea of another season,disapproval,0.842,
95,Team jellyyfishhhh 😭🥰💕🤘🏻,team jellyyfishhhh,neutral,0.967,
96,Does Conrad and belly have cute scenes in book 3 ?,does conrad and belly have cute scenes in book 3,admiration,0.506,
97,I don&#39;t like Conrad,i don39t like conrad,disapproval,0.848,
98,Ahhhh Yesss,ahhhh yesss,neutral,0.698,
99,The way I don&#39;t care about Conrad😂Team Jellyfish,the way i don39t care about conradteam jellyfish,neutral,0.721,
100,Team conrad💪🏻,team conrad,neutral,0.967,
101,I AM SO EXCITED I LOVE THAT SHOW!❤,i am so excited i love that show,love,0.655,❤️
102,Guys I have never heard about it is it worth a watch or not,guys i have never heard about it is it worth a watch or not,confusion,0.661,
103,I want her to make up her mind and not play with him😭,i want her to make up her mind and not play with him,neutral,0.683,
104,SCREAMING AHHHH,screaming ahhhh,neutral,0.518,
105,I just know  this is gonna be good when I saw Conrad at the end,i just know  this is gonna be good when i saw conrad at the end,optimism,0.228,
106,manifesting bonrad as end game,manifesting bonrad as end game,neutral,0.965,
107,I&#39;m screaming!!!!,i39m screaming,neutral,0.946,
108,BONRAD IS ENDGAME🙏🏻🙏🏻,bonrad is endgame,neutral,0.97,
109,Belly x no one squad!!! Who else is with me? I just can’t stand her since last season.🙄💀💀💀I was team Conrad but he deserves so much better…😒,belly x no one squad who else is with me i just cant stand her since last seasoni was team conrad but he deserves so much better,neutral,0.32,
110,I can&#39;t wait,i can39t wait,excitement,0.543,
111,"If Jeremiah gets his heart broke AGAIN. Omg I will run away, but great I am to excited!!!",if jeremiah gets his heart broke again omg i will run away but great i am to excited,excitement,0.774,
112,The disappointment as I see Conrad come on screen is honestly hilarious. I went from screaming of joy to screaming of absolute anger and sadness.😭😭😂😂,the disappointment as i see conrad come on screen is honestly hilarious i went from screaming of joy to screaming of absolute anger and sadness,disappointment,0.497,
113,Realising date,realising date,realization,0.746,
114,ALL THE TEAM JEREMIAH GIRLYS RN 😢😢😢😢,all the team jeremiah girlys rn,neutral,0.968,
115,The fact that I&#39;ve watched this over and over again 20times and i still have chills in the &quot;But loving him was red&quot; part just shows how good this season is going to be,the fact that i39ve watched this over and over again 20times and i still have chills in the quotbut loving him was redquot part just shows how good this season is going to be,admiration,0.591,
116,I CANNOT WAIT😿😿😿😿😿😿,i cannot wait,excitement,0.435,
117,As someone who haven&#39;t read the i hope Jeremiah and belly should end up togather plsss😭❤️,as someone who haven39t read the i hope jeremiah and belly should end up togather plsss,optimism,0.633,
118,THE SONG CHOICES OMG????,the song choices omg,surprise,0.483,😲
119,OMG IT COMES OUT ON MY BIRATHDAY,omg it comes out on my birathday,surprise,0.479,😲
120,The shift from Jeremiah to conrad with daylight and red in the background is Just 😭🤯🤯,the shift from jeremiah to conrad with daylight and red in the background is just,neutral,0.946,
121,"Why does he haft to say &quot;hey&quot; like I am 100% TEAM JELLYFISH, so I DO NOT want CONRAD to come and ruin the moment they look so happy.",why does he haft to say quotheyquot like i am 100 team jellyfish so i do not want conrad to come and ruin the moment they look so happy,joy,0.454,😊
122,𝙅𝙚𝙧𝙚𝙢𝙞𝙖𝙝 𝙞𝙨 𝙨𝙪𝙘𝙝 𝙖 𝙝𝙤𝙩𝙩𝙞𝙚🥵🥵,𝙅𝙚𝙧𝙚𝙢𝙞𝙖𝙝 𝙞𝙨 𝙨𝙪𝙘𝙝 𝙖 𝙝𝙤𝙩𝙩𝙞𝙚,neutral,0.831,
123,And there comes “hey”,and there comes hey,neutral,0.956,
124,I think I  just ascended!!! <br>can&#39;t wait for this and bonrad :p,i think i  just ascended brcan39t wait for this and bonrad p,excitement,0.441,
125,❤,,empty,0.0,
126,CONRAD BETTER BACK OFF,conrad better back off,neutral,0.968,
127,My heart will be broken if this time belle again hurt Jer 💔 belle is the main problem+ main character lol 😂,my heart will be broken if this time belle again hurt jer  belle is the main problem main character lol,amusement,0.708,
128,I prey that conrad does not mess things up team jellyfish for EVERRRRRRRR,i prey that conrad does not mess things up team jellyfish for everrrrrrrr,neutral,0.87,
129,AHHHHHHH the one ‘hey’ from conrad was the highlight of the whole trailer ❤,ahhhhhhh the one hey from conrad was the highlight of the whole trailer,neutral,0.264,
130,The transition ❤😭,the transition,neutral,0.962,
131,team jer❣,team jer,neutral,0.964,
132,Team conrad<br>That &quot;hey&quot; nd boom 💥 excited 😁,team conradbrthat quotheyquot nd boom  excited,excitement,0.743,
133,TEAM JERE FOR LIFE<br>👇🏻,team jere for lifebr,neutral,0.967,
134,Smile dropped so fast…,smile dropped so fast,neutral,0.784,
135,WTFFF,wtfff,neutral,0.97,
136,WAITING FOR THE FALL OF JEREMIAH FISHER,waiting for the fall of jeremiah fisher,neutral,0.875,
137,"MY FYP IS BOMBARDING ME WITH THIS, its perfection.",my fyp is bombarding me with this its perfection,admiration,0.857,
138,oh yeah ok! this is gonna wreck me no ok!,oh yeah ok this is gonna wreck me no ok,annoyance,0.186,
139,they give the whole ending away in the books....soooo all us book girlies lowkey already know,they give the whole ending away in the bookssoooo all us book girlies lowkey already know,neutral,0.875,
140,"My mom, while watching:<br>The first 40s🙂<br>THE SECOND CONRAD ENTERED😘😘<br>😩😩🤭🤭👌👌🌻🌻💛💛",my mom while watchingbrthe first 40sbrthe second conrad enteredbr,neutral,0.969,
141,Atp it’s belly they need to drop her . She just a bop fr,atp its belly they need to drop her  she just a bop fr,neutral,0.969,
142,CONRAD GO AWAY,conrad go away,neutral,0.968,
143,"hey guys, im here with my brother...i made him watch the trailer ... ( hi guys its angelo here and wanted to say i didnt understand the transition ...... plz som1 explain me in fortnite terms plzz )",hey guys im here with my brotheri made him watch the trailer   hi guys its angelo here and wanted to say i didnt understand the transition  plz som1 explain me in fortnite terms plzz,confusion,0.346,
144,Conrad’s hey ❤❤❤❤,conrads hey,neutral,0.968,
145,Conrad back belly so happy though,conrad back belly so happy though,joy,0.888,😊
146,"The song, the takes, everything. I&#39;m going to cry 😭😭",the song the takes everything i39m going to cry,sadness,0.874,😢
147,"But was that short haired girl at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=31"">0:31</a> Belly??<br>I don&#39;t think so.",but was that short haired girl at a href bellybri don39t think so,neutral,0.651,
148,BRO I AM SO EXCITED FOR THE NEW SEASON LIKE I CANT WAIT,bro i am so excited for the new season like i cant wait,excitement,0.82,
149,OMG IM SO EXCITED!!!!!!,omg im so excited,excitement,0.81,
150,if she ends up with conrad ......................................i&#39;m readying my self for jail,if she ends up with conrad i39m readying my self for jail,neutral,0.94,
151,"This makes me feel so sad for Jeremiah. I really want Jellyfish to be endgame. But I know that it’s a hopeless wish 😢😢. <br><br>I know how the books end and maybe if I read the books I’d be team Conrad, not sure? But for the show Gavin’s got it on lock for me.<br><br>And it’s all so funny because I typically am team broody bad boy 😂. But not in this case.",this makes me feel so sad for jeremiah i really want jellyfish to be endgame but i know that its a hopeless wish  brbri know how the books end and maybe if i read the books id be team conrad not sure but for the show gavins got it on lock for mebrbrand its all so funny because i typically am team broody bad boy  but not in this case,sadness,0.57,😢
152,"y&#39;all I used to be team bonrad but when S2 came out,I switched to team jellyfish because I cant bear to see my jere bear getting hurt😭 But the whole thing revolves around Belly and she should just leave our boys because atp, HOWS SHE ANY DIFFERENT FROM A PLAYER😭😭😭😭",y39all i used to be team bonrad but when s2 came outi switched to team jellyfish because i cant bear to see my jere bear getting hurt but the whole thing revolves around belly and she should just leave our boys because atp hows she any different from a player,neutral,0.89,
153,Im just gonna say it… IF I had a sister and she was dating a guy I love I would never date him after her. Cause I wouldn’t trust it tbh. 😅 great show tho,im just gonna say it if i had a sister and she was dating a guy i love i would never date him after her cause i wouldnt trust it tbh  great show tho,admiration,0.613,
154,JELLY! JELLY! JELLY! IM SO EXCITED FOR ALL THE JELLY MOMENTS THIS SEASON!!!,jelly jelly jelly im so excited for all the jelly moments this season,excitement,0.798,
155,I am on antibelly team. She doesn&#39;t deserve any of them😮‍💨,i am on antibelly team she doesn39t deserve any of them,disapproval,0.486,
156,I LOVE DAYLIGHT AND RED MASHUPPPO,i love daylight and red mashupppo,love,0.945,❤️
157,Why does Conrad have to show up😭💀,why does conrad have to show up,curiosity,0.409,
158,So I&#39;m gonna cry. CAN NOT WAIT,so i39m gonna cry can not wait,excitement,0.259,
159,"Even Taylor Swift is Team Conrad. <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=46"">0:46</a>",even taylor swift is team conrad a href,neutral,0.962,
160,That &quot;Hey&quot; got me so happy more than the rest of the trailer. Team Conrad!!!,that quotheyquot got me so happy more than the rest of the trailer team conrad,joy,0.894,😊
161,stop Jenny!! just STOOOOPPPP<br>Tay’s songs were always meant to be our Bonrad thing<br>nothing breaks me more than hearing Daylight for her and jeremiah scenes,stop jenny just stooooppppbrtays songs were always meant to be our bonrad thingbrnothing breaks me more than hearing daylight for her and jeremiah scenes,neutral,0.817,
162,Mind Blown..😍😍,mind blown,neutral,0.969,
163,okay did they just transition from Daylight to Red 🤯🤯 I am sooo ready for Season 3,okay did they just transition from daylight to red  i am sooo ready for season 3,excitement,0.583,
164,omggggg can&#39;t wait!!! my dream boyssss (both of them lol),omggggg can39t wait my dream boyssss both of them lol,excitement,0.447,
165,Want Jeremiah and Belly so badly,want jeremiah and belly so badly,desire,0.614,
166,So good😭,so good,admiration,0.95,
167,Is it gonna be jeremiah and belly or contad,is it gonna be jeremiah and belly or contad,confusion,0.361,
168,Team jelly 4ever,team jelly 4ever,neutral,0.968,
169,Kinda cried I was so happy,kinda cried i was so happy,joy,0.874,😊
170,AHHHH IM GONNA FREAK OUT I WANT THE NEW SEASON TO COME OUT NOWWWW!!!,ahhhh im gonna freak out i want the new season to come out nowwww,desire,0.616,
171,"For all those saying Team Jeremiah, YOU CLEARLY HAVENT SEEN ANY BOLLYWOOD DRAMAS YET",for all those saying team jeremiah you clearly havent seen any bollywood dramas yet,neutral,0.84,
172,I knew chaos is going to happen after he said &quot;hey&quot;,i knew chaos is going to happen after he said quotheyquot,neutral,0.605,
173,conrad lowk ruined the vibe 😐,conrad lowk ruined the vibe,disappointment,0.381,
174,O OIdele foi a mais emocionante doque todos os momentos dela e o jeremaia😅,o oidele foi a mais emocionante doque todos os momentos dela e o jeremaia,neutral,0.935,
175,"One of the best teasers, omg! I&#39;m so addicted! super addicted &lt;3",one of the best teasers omg i39m so addicted super addicted lt3,admiration,0.614,
176,i can’t waitttt😢,i cant waitttt,disapproval,0.511,
177,jelly forever,jelly forever,neutral,0.967,
178,&quot;I once believed love be burning red&quot; TO &quot;But loving him was RED&quot;<br><br>AHHH I LOVE THE TRANSITION SO MUCHHHH,quoti once believed love be burning redquot to quotbut loving him was redquotbrbrahhh i love the transition so muchhhh,love,0.957,❤️
179,SOOO EXCITEDD😛,sooo excitedd,excitement,0.792,
180,Can&#39;t wait anymore ❤,can39t wait anymore,excitement,0.308,
181,GUYS to fans out there i NEED a disclaimer. who is the endgame in this show? TT i can’t handle a heartbreak and my pick is jeremiah,guys to fans out there i need a disclaimer who is the endgame in this show tt i cant handle a heartbreak and my pick is jeremiah,neutral,0.899,
182,Seeing Belly happy with Jeremiah is too cute! I hope they stay together. 💛,seeing belly happy with jeremiah is too cute i hope they stay together,admiration,0.77,
183,Daylight for jere is a crime!,daylight for jere is a crime,neutral,0.807,
184,GO AWAY CONRAD,go away conrad,anger,0.51,😡
185,"To be honest, she fits so much with Jeremiah",to be honest she fits so much with jeremiah,approval,0.652,
186,Team connie allll the wayyyyyyy!!!!😭🙌,team connie allll the wayyyyyyy,neutral,0.877,
187,Amooooo,amooooo,neutral,0.939,
188,RED&gt;&gt;&gt;&gt;&gt;&gt;GLODEN,redgtgtgtgtgtgtgloden,neutral,0.971,
189,😢😢😢 J deserves better 🥺🥺😭,j deserves better,admiration,0.583,
190,Bro just cant decide,bro just cant decide,disapproval,0.317,
191,i am obsessed with this teaser. Team Connie forvere. i don’t understand who are team jelly. i mean don’t you know about the book? Jere cheated on Belly. And it was always Conrad.,i am obsessed with this teaser team connie forvere i dont understand who are team jelly i mean dont you know about the book jere cheated on belly and it was always conrad,confusion,0.548,
192,Me reading the books knowing whats going to happen,me reading the books knowing whats going to happen,optimism,0.374,
193,That little second where he appeared and said &quot;hey&quot; and red cues in <b>goosebumps all over</b>,that little second where he appeared and said quotheyquot and red cues in bgoosebumps all overb,neutral,0.959,
194,YEASSS,yeasss,neutral,0.957,
195,I WSH I HAD PRIME 😭😭😭,i wsh i had prime,neutral,0.964,
196,Omgggg  the line &quot;But loving him was red&quot; Literal GOOSEBUMPS😭I DON&#39;T WANT THIS SHOW TO END,omgggg  the line quotbut loving him was redquot literal goosebumpsi don39t want this show to end,love,0.912,❤️
197,the fact that they chose taylor&#39;s song again MADE ME FALL IN LOVE W THIS SERIES EVEN MORE!!! im hella excited!!!,the fact that they chose taylor39s song again made me fall in love w this series even more im hella excited,excitement,0.586,
198,"Jere: I once believed love would be lack and white , but its golden (Daylight ). Conrad: loving him was red(red) . Can&#39;t wait for this season!!!!!!",jere i once believed love would be lack and white  but its golden daylight  conrad loving him was redred  can39t wait for this season,love,0.451,❤️
199,Its CONNIE season soo excited,its connie season soo excited,excitement,0.801,
200,She&#39;s so happy with him,she39s so happy with him,joy,0.82,😊
201,Aahh Conrad 😭😭😭😭,aahh conrad,neutral,0.946,
202,ei so nothing about STAYLOR??👀,ei so nothing about staylor,neutral,0.842,
203,why does jer actually seem like a nice bf,why does jer actually seem like a nice bf,curiosity,0.314,
204,Team Jeremiah,team jeremiah,neutral,0.956,
205,….and Bella Will continue to be the toxic person😂😂😂,and bella will continue to be the toxic person,neutral,0.953,
206,Daylight to red🙆🏻‍♀️💗,daylight to red,neutral,0.966,
207,CONDRAD STOLE IT WITH A HEY,condrad stole it with a hey,neutral,0.97,
208,TEAM CONNIE BABY,team connie baby,neutral,0.961,
209,#13 on trending. okayyy i see the signs…,13 on trending okayyy i see the signs,neutral,0.87,
