Title,Review,cleaned_review,cleaned_title
Might lower my rating after s2,"I kinda liked season one. It was sweet, although a bit messy. Belly ended up with the right brother.But season two?Oh, my ... What a trainwreck. It makes no sense to me why anyone would ruin a nice romance story like that.I also don't get how teenagers get to do whatever they want with whomever they want whenever they want, and noone is keeping an eye on them. Belly is only 16, and the boys not much older.The whole thing with Aunt Julia also seems forced and ridiculous.The entire season two is just one, big, ridiculous mess. I hope they won't make a season three, 'cause I will have to watch it to see what happens to the only likeable brother.",i kinda liked season one it was sweet although a bit messy belly ended up with the right brotherbut season twooh my  what a trainwreck it makes no sense to me why anyone would ruin a nice romance story like thati also dont get how teenagers get to do whatever they want with whomever they want whenever they want and noone is keeping an eye on them belly is only 16 and the boys not much olderthe whole thing with aunt julia also seems forced and ridiculousthe entire season two is just one big ridiculous mess i hope they wont make a season three cause i will have to watch it to see what happens to the only likeable brother,might lower my rating after s2
Surprisingly really good!,"Even though I haven't read the books, I still came to like it in the end--hold on, let me rephrase that, I actually came to love it! There's no single episode that doesn't make me chuckle or smile because of its romantic scenes. All in all, it was an unexpected experience because I actually watched this series with low expectations because I thought this will be full of cringe scenes, but I was wrong, instead it made my day complete! 10/10 for me. Keep up the good work!P. S. I think every season needs to end with a Taylor Swift song because her songs are just sooo good!",even though i havent read the books i still came to like it in the endhold on let me rephrase that i actually came to love it theres no single episode that doesnt make me chuckle or smile because of its romantic scenes all in all it was an unexpected experience because i actually watched this series with low expectations because i thought this will be full of cringe scenes but i was wrong instead it made my day complete 1010 for me keep up the good workp s i think every season needs to end with a taylor swift song because her songs are just sooo good,surprisingly really good
"[6.3] Pretty first, poison ivy next","I haven't read the books so I cannot have an opinion about the adaptation; but I did watch the whole thing at once. It has been a long time I had not been swept into a story like that, I did feel a lot of emotions throughout the story, with good actor play and good filming plus a perfect soundtrack! It makes you fall in love again, go on vacation and enjoy the simplicity of life again. I miss shows like this, where there's no display of drug use/almost explicit sex scenes or stupidity to make it more thrilling: it's a comeback to more simple and qualitative times and human interaction. A big thank you and I'm excited for season two this summer.Edit S2: haven't been able to finish season 2 as it was so bad. All the spirit of season 1 is gone. Bad writing, stupid story line, annoying new characters. Now they are just trying to keep it going to « create content ». Extremely disappointed and gave up after 5 long and stupid episodes. I wish they would have stopped after season 1 and make it a mini-series. This isn't ok. Haven't changed the rating as it only stands for season 1.",i havent read the books so i cannot have an opinion about the adaptation but i did watch the whole thing at once it has been a long time i had not been swept into a story like that i did feel a lot of emotions throughout the story with good actor play and good filming plus a perfect soundtrack it makes you fall in love again go on vacation and enjoy the simplicity of life again i miss shows like this where theres no display of drug usealmost explicit sex scenes or stupidity to make it more thrilling its a comeback to more simple and qualitative times and human interaction a big thank you and im excited for season two this summeredit s2 havent been able to finish season 2 as it was so bad all the spirit of season 1 is gone bad writing stupid story line annoying new characters now they are just trying to keep it going to  create content  extremely disappointed and gave up after 5 long and stupid episodes i wish they would have stopped after season 1 and make it a miniseries this isnt ok havent changed the rating as it only stands for season 1,63 pretty first poison ivy next
Are we suppose to like Belly?,"This show was really amazing and special to me for the 1st season. I felt that magical, butterflies, carefree on the beach, can't wait to open the car door when you get there, warm sunny days, seeing friends that you haven't all winter, the smell of the ocean, salt water taffy, kayaking, sparkly wonderful everything the 1st season. I fell into it all as if I was there and watched it multiple times. I have been waiting for what feels like years and years for the 2nd season and what I was worried about happening, did. I understand the tone is different because everyone is grieving but it's just so different in so many ways. There's a bunch more swearing, so many scenes done in a very dark lighting. I hope it gets better but if not it really should of stopped at Season 1.",this show was really amazing and special to me for the 1st season i felt that magical butterflies carefree on the beach cant wait to open the car door when you get there warm sunny days seeing friends that you havent all winter the smell of the ocean salt water taffy kayaking sparkly wonderful everything the 1st season i fell into it all as if i was there and watched it multiple times i have been waiting for what feels like years and years for the 2nd season and what i was worried about happening did i understand the tone is different because everyone is grieving but its just so different in so many ways theres a bunch more swearing so many scenes done in a very dark lighting i hope it gets better but if not it really should of stopped at season 1,are we suppose to like belly
Should've ended with season one,"It's 4am and I just finished binging this show in one night. I am not gonna shut up about this for a while istg i'll tell everyone i talk to about this. The plot, the tropes, this is RIGHT up my alley it's insane. Everything from the summer-house vibe, old childhood friends turned into love-triangle, the friendship between the moms (!!!!!! Oh my GOD), the girl best friend... the list goes on - i'm so obsessed. Belly is me, I am Belly. It's insane how much I relate to her. The volleyball tournament scene AHHHH and oh god how much I cried. The Fourth of July episode already wrecked me out of various reasons but the final episode? Excuse me??? I swear to god I can't remember the last time a show or movie has made me sob like a baby on this level and broke my heart into pieces. I'm happy with the kind of hopeful/happy-ish ending but still. Also, I've had an inner battle going on for a while about whose team I'm on but I think eventually I might actually be Team Jeremiah which is really surprising to me. Oh god I can't stop rambling about this. Anyways, this show is so much better than I expected. I would've been happy with regular clichée teen romance but it's so so much more than that. Haven't read the book but gonna start reading asap tomorrow.",its 4am and i just finished binging this show in one night i am not gonna shut up about this for a while istg ill tell everyone i talk to about this the plot the tropes this is right up my alley its insane everything from the summerhouse vibe old childhood friends turned into lovetriangle the friendship between the moms  oh my god the girl best friend the list goes on  im so obsessed belly is me i am belly its insane how much i relate to her the volleyball tournament scene ahhhh and oh god how much i cried the fourth of july episode already wrecked me out of various reasons but the final episode excuse me i swear to god i cant remember the last time a show or movie has made me sob like a baby on this level and broke my heart into pieces im happy with the kind of hopefulhappyish ending but still also ive had an inner battle going on for a while about whose team im on but i think eventually i might actually be team jeremiah which is really surprising to me oh god i cant stop rambling about this anyways this show is so much better than i expected i wouldve been happy with regular clichée teen romance but its so so much more than that havent read the book but gonna start reading asap tomorrow,shouldve ended with season one
I don't really get the love triangle thing,"Binge watched drama
'The Summer I turned pretty'Ok, again this a teen romantic drama based on book.Most of the characters are stereotypical which makes it predictable. The decisions some characters take are frustrating, But....The soundtrack, stunning locations, colorful costumes, excellent casting and all around good performances make an otherwise unoriginal series quite entertaining to binge. It's like 'Kissing booth' meets 'Bridgerton'.It made me emotional at 2-3 scenes, It has all those heart-fluttering, young daydreaming, coming-of-age, first love vibes. I'm team Conrad. Decent entertainer.","binge watched drama
the summer i turned prettyok again this a teen romantic drama based on bookmost of the characters are stereotypical which makes it predictable the decisions some characters take are frustrating butthe soundtrack stunning locations colorful costumes excellent casting and all around good performances make an otherwise unoriginal series quite entertaining to binge its like kissing booth meets bridgertonit made me emotional at 23 scenes it has all those heartfluttering young daydreaming comingofage first love vibes im team conrad decent entertainer",i dont really get the love triangle thing
Unexpected And Exactly What I Just Needed.,"The perfect show to watch again and again in the summer. No it doesn't follow the books exactly but it's fun, the love story is sweet, and the cast and social media along with it is fun. Not everything has to win awards.",the perfect show to watch again and again in the summer no it doesnt follow the books exactly but its fun the love story is sweet and the cast and social media along with it is fun not everything has to win awards,unexpected and exactly what i just needed
Belly went from likable to dislikable,"First of all, I have no idea why I watched it. I haven't watched a teenage drama since I was one. But for some reason I did. Second, I've never read the book so I have no idea if it is so mush worse as people comment.So, the acting is generally decent, if not good, the story is simple but they have done a good job with it. It doesn't try to be deep which is fine by me and I think that's the way the wanted it to be. Although it's not shallow. I don't remember any plot holes, although it would be hard thing to achieve with only 7 episodes.So why only 6 stars... I was about to give 7, until I watches the last scene. It almost ruined it for me, but I understand why they did it so I removed only one star.So, don't expect much, don't compare it with books and just relax an enjoy it.",first of all i have no idea why i watched it i havent watched a teenage drama since i was one but for some reason i did second ive never read the book so i have no idea if it is so mush worse as people commentso the acting is generally decent if not good the story is simple but they have done a good job with it it doesnt try to be deep which is fine by me and i think thats the way the wanted it to be although its not shallow i dont remember any plot holes although it would be hard thing to achieve with only 7 episodesso why only 6 stars i was about to give 7 until i watches the last scene it almost ruined it for me but i understand why they did it so i removed only one starso dont expect much dont compare it with books and just relax an enjoy it,belly went from likable to dislikable
Frustrating...but I couldn't stop watching,"Amongst the cliches, irritating characters, and the irritating choices they make, there is something comforting about this series. The soundtrack, stunning locations, colorful costumes, excellent casting, and all around solid performances make an otherwise unoriginal series quite entertaining....and by the way, I'm team Conrad.",amongst the cliches irritating characters and the irritating choices they make there is something comforting about this series the soundtrack stunning locations colorful costumes excellent casting and all around solid performances make an otherwise unoriginal series quite entertainingand by the way im team conrad,frustratingbut i couldnt stop watching
Sweet and fun but it's missing something,"This is more like a 6.5/10 for me. It was a sweet and fun. I liked the setting and the chill beachy vibe. It was a pretty easy binge watch too. But it felt a little shallow and repetitive. I feel like we've seen this story many times already. And that's totally fine, but I just wished this series had had something more interesting that would have made it stand out from the other stories. Some of the interactions between the characters felt unnatural to me as well.",this is more like a 6510 for me it was a sweet and fun i liked the setting and the chill beachy vibe it was a pretty easy binge watch too but it felt a little shallow and repetitive i feel like weve seen this story many times already and thats totally fine but i just wished this series had had something more interesting that would have made it stand out from the other stories some of the interactions between the characters felt unnatural to me as well,sweet and fun but its missing something
What happened????,"Season Two, 2023: It is July 2023 and the second season of this limited series is available on Prime. My wife and I watched the first two episodes and we are not impressed. This season has none of the novelty and charm of the first season. It is focusing almost solely on the relationship triangle, Belly, Conrad, and Jeremiah. And frankly it isn't scripted very well and comes across as too juvenile. This whole series of episodes are written and directed by a number of different people and it seems they didn't really know a good path forward after season one. We might watch additional episodes but it doesn't have that ""must watch"" feel that season one had. We are mildly disappointed.Season One, 2022: My wife and I just this evening finished this Amazon streaming 7-episode limited series. Each part about 45 to 50 minutes long. It focuses heavily on four teenagers, two boys from one family and a boy and a girl from the other. They have been knowing each other essentially all their lives and grew up mostly like brothers and sister, their moms are best friends. The story is told mostly from Belly's (Isabel) point of view, she is the one, just turning 16, that became pretty that summer.There are a few side stories going on, some involving an ex-husband or an estranged husband. And the usual ""on again, off again"" teenage friendships. The 16-yr-olds getting ready for the debutante ball. But the most significant is the illness of one of the mothers.While we, grandparents in our 70s, are not the target audience for this type of teen-focused programming we enjoyed it quite nicely. With a show like this it hinges on whether you can care about the characters, if you can easily put aside the fact that you are watching actors playing fictional roles. And we were able to do that with this series.The last episode ends in a way that it certainly sets up for a sequel and my wife tells me that a second season is in the works. We will also watch that when it becomes available.",season two 2023 it is july 2023 and the second season of this limited series is available on prime my wife and i watched the first two episodes and we are not impressed this season has none of the novelty and charm of the first season it is focusing almost solely on the relationship triangle belly conrad and jeremiah and frankly it isnt scripted very well and comes across as too juvenile this whole series of episodes are written and directed by a number of different people and it seems they didnt really know a good path forward after season one we might watch additional episodes but it doesnt have that must watch feel that season one had we are mildly disappointedseason one 2022 my wife and i just this evening finished this amazon streaming 7episode limited series each part about 45 to 50 minutes long it focuses heavily on four teenagers two boys from one family and a boy and a girl from the other they have been knowing each other essentially all their lives and grew up mostly like brothers and sister their moms are best friends the story is told mostly from bellys isabel point of view she is the one just turning 16 that became pretty that summerthere are a few side stories going on some involving an exhusband or an estranged husband and the usual on again off again teenage friendships the 16yrolds getting ready for the debutante ball but the most significant is the illness of one of the motherswhile we grandparents in our 70s are not the target audience for this type of teenfocused programming we enjoyed it quite nicely with a show like this it hinges on whether you can care about the characters if you can easily put aside the fact that you are watching actors playing fictional roles and we were able to do that with this seriesthe last episode ends in a way that it certainly sets up for a sequel and my wife tells me that a second season is in the works we will also watch that when it becomes available,what happened
Melded families spend yet another summer at the beach house.,"I loved the first season of this show. It's a fun, bingeable, teen-angsty series. The setting creates an environment you can escape into. The teens were also very well-cast and engaging to watch. The adults not so much, but that could be overlooked. However, this second season drags. Everything just seems sad. It lacks complexity and all the color of the first season. Their cousin is also such a bad actor it's distracting. If there is a third season, I would love to keep watching if they're able to rebound and get back to the energy of the first season. But maybe the ""will they, won't they?"" drama has played itself out...",i loved the first season of this show its a fun bingeable teenangsty series the setting creates an environment you can escape into the teens were also very wellcast and engaging to watch the adults not so much but that could be overlooked however this second season drags everything just seems sad it lacks complexity and all the color of the first season their cousin is also such a bad actor its distracting if there is a third season i would love to keep watching if theyre able to rebound and get back to the energy of the first season but maybe the will they wont they drama has played itself out,melded families spend yet another summer at the beach house
Second season disappoints,"I feel like people get way to critical about these easy watching, light, young adult TV shows. If people read the books they would realise that actually the show adapts the storyline much further - the books are meant to be easy reading and therefore the show is also meant to be easy watching.I really loved this show. I found it so comforting and entertaining and will continue to rewatch it. Sometimes the simplicity and cheesiness is just what you need and it clearly isn't aimed at adults or those who don't enjoy said shows. If you want something light hearted and fun, this is perfect. Cant wait for season two.",i feel like people get way to critical about these easy watching light young adult tv shows if people read the books they would realise that actually the show adapts the storyline much further  the books are meant to be easy reading and therefore the show is also meant to be easy watchingi really loved this show i found it so comforting and entertaining and will continue to rewatch it sometimes the simplicity and cheesiness is just what you need and it clearly isnt aimed at adults or those who dont enjoy said shows if you want something light hearted and fun this is perfect cant wait for season two,second season disappoints
A comfort show,"It's alright, good binge material if you're bored.Decent acting in season 1, the second season however fails to deliver. The story lacks depth in both seasons and is very predictable.The source material feels as though it was taken straight out of Wattpad, no idea why there's so much hype out there.I take it the books are better?",its alright good binge material if youre boreddecent acting in season 1 the second season however fails to deliver the story lacks depth in both seasons and is very predictablethe source material feels as though it was taken straight out of wattpad no idea why theres so much hype out therei take it the books are better,a comfort show
Very Wattpad,Jeremiah is by far the best character of the series. Such a cute tween book to series adaptation. There's many layers and relationships from parents to children that everyone can connect with.,jeremiah is by far the best character of the series such a cute tween book to series adaptation theres many layers and relationships from parents to children that everyone can connect with,very wattpad
"Watch it for ""Jeremiah""","One of those series that made me watch just because I saw the trailer and I was hooked.Based on the books by Jenny Han, this series is good as its own. There's the summer story, romance, drama and sadly tragedy. At first, it is a simple story of how Belly spent her usual summer until everything is different and how that year changed everything.It's a usual growing of age story yet it is still enjoyable and fun to watch. Easy to binge with good ensemble cast and really good soundtrack. A romance story with songs from Taylor Swift and Olivia Rodrigo? It's a yes. So if you are looking for a series to easily binge and enjoy, this is a good series to begin with. Season 2 is also about to get released this week. Crossfingers on that Back to December version from the trailer.At the end of season 1, you're gonna have a question whether you are team Jeremiah or Team ConradThe Summer I Turned Pretty season 1 is 7/10. It'll make you smile and cry.",one of those series that made me watch just because i saw the trailer and i was hookedbased on the books by jenny han this series is good as its own theres the summer story romance drama and sadly tragedy at first it is a simple story of how belly spent her usual summer until everything is different and how that year changed everythingits a usual growing of age story yet it is still enjoyable and fun to watch easy to binge with good ensemble cast and really good soundtrack a romance story with songs from taylor swift and olivia rodrigo its a yes so if you are looking for a series to easily binge and enjoy this is a good series to begin with season 2 is also about to get released this week crossfingers on that back to december version from the trailerat the end of season 1 youre gonna have a question whether you are team jeremiah or team conradthe summer i turned pretty season 1 is 710 itll make you smile and cry,watch it for jeremiah
It's a usual growing of age story yet it is still enjoyable and fun to watch.,"I read so many bad reviews saying how poorly was adapted but I guess people didn't pay attention that the author itself created e co-wroted the series so I guess all the changes from the books were made because she thought it would fit better. I'm in the middle of the book right now and so far the series was much better and the changes elevated the stories for me. Oh and also if you're a middle age man and you're saying this is trash then maybe you should watch appropriate things for your age and your wonderful IQ. And for the one that only paid attention to the politics, belive nobody that cared about the romance and the untangle of it paid any mind to it. It's a great series, very easy to watch and will hold your attention for sure. And the tracklist is great! Highly recommend the show!",i read so many bad reviews saying how poorly was adapted but i guess people didnt pay attention that the author itself created e cowroted the series so i guess all the changes from the books were made because she thought it would fit better im in the middle of the book right now and so far the series was much better and the changes elevated the stories for me oh and also if youre a middle age man and youre saying this is trash then maybe you should watch appropriate things for your age and your wonderful iq and for the one that only paid attention to the politics belive nobody that cared about the romance and the untangle of it paid any mind to it its a great series very easy to watch and will hold your attention for sure and the tracklist is great highly recommend the show,its a usual growing of age story yet it is still enjoyable and fun to watch
Don't mind the trolls,"I thought this show would be just another Gen Z kind of show with exaggerated acting from mediocre actors and a generic story. But it's actually really well made. This is probably the closest to realistic portrayal of modern youth I've ever seen a tv show do. The acting is good, the character development is great, and it keeps you entertained. Nowadays so many movies and tv shows make Gen Z look either incredibly depressing and dramatic or some completely unrealistic fairytale. There are some moments that feel very genuine I'm the show, like you are actually witnessing a real conversation happen with the characters.",i thought this show would be just another gen z kind of show with exaggerated acting from mediocre actors and a generic story but its actually really well made this is probably the closest to realistic portrayal of modern youth ive ever seen a tv show do the acting is good the character development is great and it keeps you entertained nowadays so many movies and tv shows make gen z look either incredibly depressing and dramatic or some completely unrealistic fairytale there are some moments that feel very genuine im the show like you are actually witnessing a real conversation happen with the characters,dont mind the trolls
Might lower my rating after s2,"I kinda liked season one. It was sweet, although a bit messy. Belly ended up with the right brother.But season two?Oh, my ... What a trainwreck. It makes no sense to me why anyone would ruin a nice romance story like that.I also don't get how teenagers get to do whatever they want with whomever they want whenever they want, and noone is keeping an eye on them. Belly is only 16, and the boys not much older.The whole thing with Aunt Julia also seems forced and ridiculous.The entire season two is just one, big, ridiculous mess. I hope they won't make a season three, 'cause I will have to watch it to see what happens to the only likeable brother.",i kinda liked season one it was sweet although a bit messy belly ended up with the right brotherbut season twooh my  what a trainwreck it makes no sense to me why anyone would ruin a nice romance story like thati also dont get how teenagers get to do whatever they want with whomever they want whenever they want and noone is keeping an eye on them belly is only 16 and the boys not much olderthe whole thing with aunt julia also seems forced and ridiculousthe entire season two is just one big ridiculous mess i hope they wont make a season three cause i will have to watch it to see what happens to the only likeable brother,might lower my rating after s2
Surprisingly really good!,"Even though I haven't read the books, I still came to like it in the end--hold on, let me rephrase that, I actually came to love it! There's no single episode that doesn't make me chuckle or smile because of its romantic scenes. All in all, it was an unexpected experience because I actually watched this series with low expectations because I thought this will be full of cringe scenes, but I was wrong, instead it made my day complete! 10/10 for me. Keep up the good work!P. S. I think every season needs to end with a Taylor Swift song because her songs are just sooo good!",even though i havent read the books i still came to like it in the endhold on let me rephrase that i actually came to love it theres no single episode that doesnt make me chuckle or smile because of its romantic scenes all in all it was an unexpected experience because i actually watched this series with low expectations because i thought this will be full of cringe scenes but i was wrong instead it made my day complete 1010 for me keep up the good workp s i think every season needs to end with a taylor swift song because her songs are just sooo good,surprisingly really good
